,Alpha (mensuel),Alpha (annualisé),Beta_Market,Beta_SMB,Beta_HML,R²,p-value Alpha
CAPM,-0.31798546310045284,-3.815825557205434,0.002857449578105295,,,0.010155645964292415,1.1375179187336344e-20
Fama-French 3F,-0.3153042571441032,-3.7836510857292387,0.002008550249684872,0.005351184777049212,0.00176721352463195,0.025920534577258403,2.954100852075915e-19
