,Rendement annualisé,Volatilité annualisée,Sharpe,Skewness,Kurtosis,Sortino,VaR_95,CVaR_95
GARP,0.03937369819287561,0.24229809303385932,0.16250106511310194,-0.09717544139595319,-0.5699459434910183,0.23660362549430292,-0.10702705035555948,-0.11720834244894418
MSCI_World,0.03143173085771837,0.1271923536829183,0.24711965733471278,-0.6467905618444723,-0.11251521961892896,0.34122317805539376,-0.06920228553914533,-0.07940376832374814
