,Rendement annualisé (Sous-période 1),Volatilité annualisée (Sous-période 1),Sharpe (Sous-période 1),Rendement annualisé (Sous-période 2),Volatilité annualisée (Sous-période 2),Sharpe (Sous-période 2)
GARP,-0.08171381888960987,0.2633597009482717,-0.31027457350302745,0.1537342046555714,0.2230750699430013,0.6891590561637055
FTSE_All_World,-0.04089624757543668,0.1304113604755334,-0.3135942100926803,0.10061127554219401,0.11291975426461624,0.8909980029395164
