Date,0
2023-01-31,-1.5895138312071044
2023-02-28,-1.8516211401038867
2023-03-31,-2.052691650588229
2023-04-30,-2.514848771075312
2023-05-31,-2.719612115080347
2023-06-30,-3.0092775342013023
2023-07-31,-3.2984135435737456
2023-08-31,-3.633991262040489
2023-09-30,-4.009426097653632
2023-10-31,-4.273644834419297
2023-11-30,-4.446011732374343
2023-12-31,-4.515820879363507
2024-01-31,-4.66891027714262
2024-02-29,-4.679243564261947
2024-03-31,-4.858833298941368
2024-04-30,-4.854203167884455
2024-05-31,-5.08041440819646
2024-06-30,-5.367391401664174
2024-07-31,-5.367062508163482
2024-08-31,-5.3832042631007715
2024-09-30,-5.2698583750861445
2024-10-31,-5.4441552398994855
2024-11-30,-5.3310749972831815
2024-12-31,-5.35616144310335
2025-01-31,-5.195143178416197
2025-02-28,-5.1309572276382776
2025-03-31,-5.103989295296517
2025-04-30,-5.047770825503512
2025-05-31,-4.6965910012028855
2025-06-30,-4.6427486182833375
2025-07-31,-4.599379050870041
2025-08-31,-4.48213766574059
2025-09-30,-4.4806831803550535
2025-10-31,-4.455482174696475
2025-11-30,-4.42885408372509
2025-12-31,-4.344985473253855
