Date,GARP,FTSE_All_World
2022-01-31,,
2022-02-28,,
2022-03-31,,
2022-05-31,,
2022-06-30,,
2022-08-31,,
2022-09-30,,
2022-10-31,,
2022-11-30,,
2023-01-31,,
2023-02-28,,
2023-03-31,-0.6928335929499003,-0.630447271101409
2023-05-31,0.16269267096203993,-0.23688207106821413
2023-06-30,0.6249920289309951,0.17569928141481894
2023-07-31,0.5414624054391384,0.1480862012357164
2023-08-31,0.5312912586272708,0.1689439604124851
2023-10-31,0.685419764018036,0.4632923159553831
2023-11-30,1.1776893544357898,1.0430905499806453
2024-01-31,2.1432379445420744,2.573859865577783
2024-02-29,2.4852975315691825,2.5645463499865984
2024-04-30,1.6282333283033597,1.7835764814773587
2024-05-31,1.4627810915930228,1.615854345053837
2024-07-31,1.286104703747541,1.8004599206602323
2024-09-30,1.189968061653257,1.9349105634659136
2024-10-31,0.8449268019157687,1.7249818452107382
2024-12-31,0.4911669299193568,1.341601975546107
2025-01-31,0.7140272026327464,1.3732539440077671
2025-02-28,1.181863165974252,1.4720833009065755
2025-03-31,0.7845029574711755,0.6724158177127603
2025-04-30,0.4112213631630097,-0.14373824981876393
2025-06-30,0.26460233544044975,-0.2628571710575637
2025-07-31,-0.33132927242918425,-0.3209454290449818
2025-09-30,-0.018089131379296422,0.15656285751618296
2025-10-31,-0.16588827556117766,0.29366473151319916
2025-12-31,-0.06039878928050439,0.2180365371922819
