,Rendement annualisé,Volatilité annualisée,Ratio de Sharpe,Drawdown maximum
GARP,0.03937371149962532,0.24229809487132062,0.16250111879969945,-0.26358743999226886
MSCI_World_Growth,0.054304529584257924,0.1630445355563047,0.3330656216043792,-0.20874657687620557
MSCI_World_Value,0.0021317738988680017,0.11913083934970982,0.01789439166637748,-0.14805474079028824
