,0
2024-03-31,0.18776591328418601
2024-04-30,0.18094074722575554
2024-05-31,0.16720049343358495
2024-06-30,0.15587145660581084
2024-07-31,0.1547036514161966
2024-08-31,0.14036613415842583
2024-09-30,0.13866321074190405
2024-10-31,0.1329344173021759
2024-11-30,0.13189754970905873
2024-12-31,0.13152289670536138
2025-01-31,0.12356014015338468
2025-02-28,0.12610900746374362
2025-03-31,0.14939524673032212
2025-04-30,0.1356807716896978
2025-05-31,0.11243389262242989
2025-06-30,0.11013790252311154
2025-07-31,0.08675996528154653
2025-08-31,0.06793932491650878
2025-09-30,0.06054057759761119
2025-10-31,0.029479367523967716
2025-11-30,0.03242946031662478
2025-12-31,0.031243261639118634
