,Alpha mensuel,Alpha annualisé,p-value Alpha,R²,Beta_Mkt_RF,Beta_SMB,Beta_HML,Beta_MOM
CAPM,0.005380489133068561,0.06456586959682273,0.23995006741951197,0.6838513213661186,1.1209078023170396,,,
FF3,0.006963793169942256,0.08356551803930706,0.08572262011910554,0.7762043972982986,1.073210640035157,-0.15608060482555222,-0.43387171952759723,
Carhart 4F,0.007029369451182726,0.08435243341419271,0.07882509763197494,0.7766938456836201,1.0668734366855406,-0.17162807796985274,-0.43781155170017405,-0.040946279844067054
