Date,ADYEN.AS,AMZN,CSU.TO,DNP.WA,GOOGL,KNSL,MELI,META,NU,SLYG.DE
2024-05-31,0.04717946017305406,-0.004154459188802458,0.07501003709757804,-0.005482816277932239,0.04564835755957742,0.04260046804763234,0.15566823141176309,0.06943534833247379,0.07742066633623608,0.09245716455825723
2024-06-30,-0.06233531837682818,0.10166744446553391,0.032280765384974534,0.04711292028100466,0.06624374655943258,0.014981685200454118,-0.03813227294457703,0.08870357718433633,0.0922591660901123,-0.090920684461716
2024-07-31,0.015509736858406434,-0.05408049220632398,0.10482592635815423,-0.1532123888168631,-0.08111143719441485,0.14976865565561936,-0.00569998112685368,-0.08115338955627571,-0.08186755234754883,0.06650638255740648
2024-08-31,0.16167833606595447,-0.044018500906749726,0.011598955276026703,-0.111677558535095,-0.046343109209579625,0.07449644451503491,0.2137412338012067,0.0957826623512064,0.21276101816553553,-0.03825591259881227
2024-09-30,0.0539008599832744,0.03336339710803662,0.0021989029850059618,0.07579571800894086,0.006763707358922866,-0.0629323143043323,-0.014283332744436762,0.08494929731929458,-0.10187602932320025,-0.025389324950671612
2024-10-31,0.002705625593652132,-0.0004699783634627185,-0.06478358247915643,-0.02749583928340202,0.03037736442128015,-0.08472784522594082,-0.00807443275993564,-0.00937176422460275,0.09944724640264015,-0.020202644710498572
2024-11-30,-0.020109841364566942,0.12972890229622253,0.13073587758508692,0.1789998545422173,0.007910788536393527,0.1928728318454528,-0.0052472689423486,0.032419777743748754,-0.1652918542143509,-0.011730319008824364
2024-12-31,0.04163418315342015,0.04450656298884564,-0.055933833725217055,0.025016448980060967,0.10554039843564259,-0.09836560084215243,-0.16415287973868078,0.010767436967655981,-0.19950885536174148,0.020438603926136792
2025-01-31,0.08851801226332881,0.07101275765148744,0.08504657609973727,0.14513320781885436,0.06582353014569946,-0.06020436448891476,0.11351664637539358,0.15395773772896598,0.23622885201116683,0.02849196139801483
2025-02-28,0.10349888329298744,-0.10936352931700913,0.05700358091179756,0.09606307378352269,-0.17711841240841494,-0.019032347140963465,0.1024882188582755,-0.027259453855105514,-0.20468125983541632,0.051995284490428194
2025-03-31,-0.21382570926473096,-0.14062567227877623,-0.09323958846171164,-0.1338372084176749,-0.1263043133769371,0.088479093088729,-0.11513345513813812,-0.17807675662782668,-0.0797152062900025,-0.027028677991104887
2025-04-30,0.00835761548966662,-0.04781038211593537,0.064748568072099,0.10734364468060682,0.00991120700881938,-0.1283594957218322,0.16132301700231896,-0.06526866234377053,0.17717672442277094,-0.08875628825927363
2025-05-31,0.17538539120205454,0.10835985164412479,0.008132028858806666,0.0395366656046363,0.08085299033432711,0.08389362210792994,0.09757543024278,0.16752169804815423,-0.03185639974014279,0.32658600010855926
2025-06-30,-0.08083213050795302,0.04657966506757718,0.003076014452800775,-0.07410737004338296,0.005805424524473803,0.0037078897984799478,-0.0017641585113689464,0.11051912277206442,0.11190241815149815,0.018100446099423753
2025-07-31,-0.03115276283686234,0.08025964759597978,-0.05036967164183722,-0.032776144477257185,0.100503989330522,-0.07821702693526171,-0.08089058047330375,0.062101758859006644,-0.10046114637967736,0.05395496158768009
2025-08-31,-0.05176024640619256,-0.03841612046510056,-0.04647949810021658,-0.1098462371164887,0.08754820538994343,0.021352174362946414,0.024518613687298827,-0.06230318382078635,0.17520618702232715,0.13049651598395884
2025-09-30,-0.04959223169226334,-0.05832677114067446,-0.1876550418686408,-0.04194222289481299,0.11722144377633967,-0.0892427600499967,-0.0728290923022178,-0.021466483793149665,0.06231045842246164,-0.08894754264238339
2025-10-31,0.08668163590606315,0.11540304065796324,-0.01709554299365003,0.020931661392658635,0.15456238293983876,-0.05355738758803403,0.004853956798103477,-0.115591241546923,0.015231392663641104,0.0191944478183391
2025-11-30,-0.10471880781256147,-0.05168527984728455,-0.08377591772600364,-0.0787257291438544,0.12425468750050002,-0.04230714486233263,-0.1218814945939926,-0.00621515242648485,0.07085702242261077,0.05546708307811209
2025-12-31,0.025336474388109806,0.0009335950019813413,-0.023632034063369778,2.4798516969510703e-05,-0.0107486517233,0.027308457958652416,-0.01687867155187961,0.030655508177669422,-0.026816645275028153,0.07948919117551706
2026-01-31,-0.09259385283182767,0.032562910589427244,-0.2678437579821501,-0.11429051355456732,0.07332582558867058,0.0085798622221576,0.060670658199127994,0.07848513786931688,0.05506758517865079,0.12770048194848765
