Date,GARP_Portfolio
2024-05-31,0.059578245804983734
2024-06-30,0.025186102938272725
2024-07-31,-0.012051453981869367
2024-08-31,0.052976356892472806
2024-09-30,0.005249088144083437
2024-10-31,-0.008259585062942651
2024-11-30,0.04702887490190312
2024-12-31,-0.027005753521602963
2025-01-31,0.09275249170037338
2025-02-28,-0.0126405961219898
2025-03-31,-0.1019307494758174
2025-04-30,0.019866594823547003
2025-05-31,0.10559872784112302
2025-06-30,0.01429873218036131
2025-07-31,-0.007704697537101107
2025-08-31,0.01303164105376899
2025-09-30,-0.043047024418533794
2025-10-31,0.023061434604800042
2025-11-30,-0.02387307334112913
2025-12-31,0.008567202260532203
2026-01-31,-0.003833566277270629
